,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
33480,JALAN KLANG LAMA (OLD KLANG ROAD),3800000.0,5.5,7.0,8.0,Condominium,4477.5,Unfurnished
33482,BANGSAR,3500000.0,4.0,6.0,4.0,Bungalow,3993.0,Fully Furnished
33483,AMPANG HILIR,939000.0,5.0,3.0,2.0,3-sty Terrace/Link House,2200.0,Partly Furnished
33484,MONT KIARA,2480000.0,5.5,6.0,3.0,Condominium,4000.0,Partly Furnished
33485,TAMAN DESA,628000.0,3.0,2.0,1.0,Serviced Residence,945.0,Unfurnished
33486,MONT KIARA,1050000.0,3.0,3.0,2.0,Serviced Residence,1668.0,Partly Furnished
33487,BANGSAR,4072500.0,5.0,4.0,4.0,Bungalow,4477.5,Partly Furnished
33488,KLCC,2600000.0,4.0,4.0,0.0,Condominium,2600.0,Partly Furnished
33489,PANTAI,730000.0,3.0,2.0,2.0,Condominium,1019.0,Fully Furnished
33490,TITIWANGSA,590000.0,3.0,2.0,1.0,Serviced Residence,958.0,Fully Furnished
33491,DUTAMAS,920000.0,2.0,2.0,1.0,Serviced Residence,1060.0,Fully Furnished
33492,FEDERAL HILL,3300000.0,5.0,4.0,0.0,Townhouse,2200.0,Partly Furnished
33493,BANGSAR,3150000.0,4.0,4.0,0.0,Condominium,2800.0,Partly Furnished
33494,KLCC,1500000.0,3.0,3.0,0.0,Condominium,1551.0,Unfurnished
33495,BANDAR MENJALARA,3500000.0,5.5,5.0,4.0,Semi-detached House,4050.0,Unfurnished
33496,BANDAR MENJALARA,4000000.0,5.5,5.0,4.0,Semi-detached House,4477.5,Fully Furnished
33497,JALAN IPOH,450000.0,3.0,2.0,1.0,Serviced Residence,1020.0,Partly Furnished
33498,CHERAS,999999.0,2.0,2.0,2.0,Serviced Residence,950.0,Partly Furnished
33500,SETAPAK,531000.0,3.0,2.0,2.0,Condominium,1000.0,Partly Furnished
